Altium Designer Pick and Place Locations
C:\Users\desktop\Documents\Project Files\Altium\Projects\Project - Devlopment\ESP8266-Deskop_Power\Project Outputs for ESP8266-Deskop_Power\Manufacturing Data\Pick Place\Pick Place for ESP8266-Deskop_Power.txt

========================================================================================================================
File Design Information:

Date:       06-12-24
Time:       20:15
Revision:   480
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                   
D1L        YELLOW             TopLayer    LED_0603_YELLOW                                11.3212      24.3388      0        "LED 0603 YELLOW SMD"                                                                         
C2E        KGM15AR70J104KM    TopLayer    C0603-IPC_C_No_Silk                            11.3781      27.0427      180      "Cap Cer 0.1UF 6.3V X7R 0603"                                                                 
H4H        "3.2 mm"           TopLayer    MountingHole_3.2mm_M3_Pad_Via_Mask             3.5000       40.5000      0        ""                                                                                            
H3H        "3.2 mm"           TopLayer    MountingHole_3.2mm_M3_Pad_Via_Mask             40.5000      40.5000      0        ""                                                                                            
H2H        "3.2 mm"           TopLayer    MountingHole_3.2mm_M3_Pad_Via_Mask             40.5000      3.5000       0        ""                                                                                            
H1H        "3.2 mm"           TopLayer    MountingHole_3.2mm_M3_Pad_Via_Mask             3.5000       3.5000       0        ""                                                                                            
J2C        "2.54 Pitch"       TopLayer    USB_Front_Pannel_2x05_P2.54mm_Horizontal_Right 5.9300       29.5800      180      ""                                                                                            
ZD2P       MM3Z12VST1G        TopLayer    SOD-323                                        20.4741      12.9862      90       "MM3Z12VST1G Zener Diode, 12V 2% 200 mW SMT 2-Pin SOD-323"                                    
ZD1P       MM3Z12VST1G        TopLayer    SOD-323                                        13.1330      12.9862      90       "MM3Z12VST1G Zener Diode, 12V 2% 200 mW SMT 2-Pin SOD-323"                                    
C2P        C0603C104K8RACTU   TopLayer    C0603-IPC_C_No_Silk                            19.5507      10.3259      0        "Multilayer Ceramic Capacitor, 0.1 uF, 10 V, ± 10%, X7R, 0603 [1608 Metric]"                  
R2I        RC0603FR-072K2L    TopLayer    R0603-MFG                                      30.1670      11.1590      0        "SMD Chip Resistor, 2.2 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"  
R1I        RC0603FR-072K2L    TopLayer    R0603-MFG                                      30.9210      12.7130      0        "SMD Chip Resistor, 2.2 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"  
F1U        F0603              TopLayer    R0603-IPC_C                                    25.3372      11.1153      0        "Fuse PPTC SMD 0603"                                                                          
F1P        F0603              TopLayer    R0603-IPC_C                                    15.5422      14.7642      90       "Fuse PPTC SMD 0603"                                                                          
J1U        1x06               BottomLayer PinHeader_1x06_P2.54mm_Vertical_No_3D          28.7360      1.8366       90       ""                                                                                            
C2C        CL10A475KP8NNNC    TopLayer    C0603-IPC_C_No_Silk                            7.8187       21.9865      0        "Multilayer Ceramic Capacitor, 4.7 uF, 10 V, ± 10%, X5R, 0603 [1608 Metric]"                  
J1I        2X04               TopLayer    PinHeader_2x04_P2.54mm_Vertical                28.7300      6.5800       90       ""                                                                                            
